Indicator name,non_null_values,countries_covered,years_covered
"Asia: Students from Nepal, both sexes (number)",23,1,23
"Africa: Students from unknown countries, both sexes (number)",23,1,23
"Completion rate, upper secondary education, urban, adjusted gender parity index (GPIA)",23,1,23
"Completion rate, upper secondary education, adjusted wealth parity index (WPIA)",23,1,23
"Government expenditure on pre-primary education, PPP$ (millions)",23,3,22
"Outbound internationally mobile tertiary students studying in South and West Asia, both sexes (number)",23,1,23
"Enrolment in pre-primary education, male (number)",22,2,18
"Oceania: Students from Samoa, both sexes (number)",22,1,22
"Teachers in upper secondary education, male (number)",22,4,17
"Teachers in lower secondary education, female (number)",22,2,13
"Gross attendance ratio for tertiary education, urban, fourth quintile, both sexes (%)",22,1,22
"Repetition rate in primary education (all grades), male (%)",22,1,22
"Outbound internationally mobile tertiary students studying in East Asia and the Pacific, both sexes (number)",22,1,22
"Enrolment in tertiary education, ISCED 6 programmes, both sexes (number)",22,1,22
"Outbound internationally mobile tertiary students studying in Latin America and the Caribbean, both sexes (number)",22,1,22
"Asia: Students from Turkey, both sexes (number)",22,1,22
Capital expenditure as a percentage of total expenditure in lower secondary public institutions (%),22,1,22
"Completion rate, lower secondary education, rural, poorest quintile, male (%)",22,1,22
"Asia: Students from India, both sexes (number)",22,1,22
"Teachers in secondary education, female (number)",22,2,19
Teaching staff compensation as a percentage of total expenditure in lower secondary public institutions (%),22,1,22
"Africa: Students from Zambia, both sexes (number)",22,1,22
"Asia: Students from Afghanistan, both sexes (number)",22,1,22
"Africa: Students from Angola, both sexes (number)",22,1,22
"Gross attendance ratio for tertiary education, adjusted location parity index (LPIA)",21,1,21
"Asia: Students from Myanmar, both sexes (number)",21,3,15
Capital expenditure as a percentage of total expenditure in upper-secondary public institutions (%),21,2,18
"Out-of-school rate for adolescents of lower secondary school age, rural, richest quintile, both sexes (household survey data) (%)",21,1,21
"Europe: Students from Romania, both sexes (number)",21,1,21
"Out-of-school rate for adolescents of lower secondary school age, urban, middle quintile, both sexes (household survey data) (%)",21,1,21
"Government expenditure on upper secondary education, US$ (millions)",21,2,18
"Total net attendance rate, lower secondary, poorest quintile, both sexes (%)",21,1,21
"Africa: Students from Ethiopia, both sexes (number)",21,1,21
"Educational attainment rate, completed lower secondary education or higher, population 25+ years, female (%)",21,2,20
"Out-of-school rate for youth of upper secondary school age, urban, poorest quintile, both sexes (household survey data) (%)",21,1,21
"Out-of-school rate for youth of upper secondary school age, urban, richest quintile, both sexes (household survey data) (%)",21,1,21
"Caribbean and Central America: Students from Saint Lucia, both sexes (number)",21,1,21
Percentage of teachers in tertiary education who are female (%),21,2,18
"Adjusted net attendance rate, one year before the official primary entry age, rural, adjusted gender parity index (GPIA)",21,1,21
"Completion rate, primary education, richest quintile, adjusted gender parity index (GPIA)",21,3,15
"Enrolment in tertiary education, ISCED 6 programmes, female (number)",21,3,11
"Out-of-school children, adolescents and youth of primary and secondary school age, female (number)",20,1,20
"Completion rate, primary education, fourth quintile, adjusted location parity index (LPIA)",20,3,18
"Completion rate, primary education, middle quintile, male, adjusted location parity index (LPIA)",20,2,19
"Asia: Students from Bahrain, both sexes (number)",20,1,20
"Repetition rate in Grade 2 of primary education, female (%)",20,1,20
"Proportion of students at the end of lower secondary education achieving at least a minimum proficiency level in reading, did not speak the language of the test at home, both sexes (%)",20,3,8
"Out-of-school rate for children one year younger than official age, adjusted gender parity index (GPIA)",20,2,18
"Percentage of graduates from tertiary education graduating from Engineering, Manufacturing and Construction  programmes, both sexes (%)",20,1,20
"School life expectancy, primary to tertiary, both sexes (years)",20,1,20
"Out-of-school children and adolescents of primary and lower secondary school age, male (number)",20,1,20
Current expenditure as a percentage of total expenditure in lower secondary public institutions (%),20,2,19
"Out-of-school rate for children of primary school age, urban, second quintile, both sexes (household survey data) (%)",20,1,20
"Total net attendance rate, upper secondary, rural, fourth quintile, both sexes (%)",20,2,20
"Net flow ratio of internationally mobile students (inbound - outbound), both sexes (%)",19,1,19
"Completion rate, primary education, rural, richest quintile, male (%)",19,1,19
"Africa: Students from Cape Verde, both sexes (number)",19,2,17
"Repetition rate in Grade 2 of lower secondary general education, male (%)",19,2,19
"Completion rate, primary education, rural, adjusted wealth parity index (WPIA)",19,1,19
"Teachers in upper secondary education, female (number)",19,2,19
"Oceania: Students from the Cook Islands, both sexes (number)",19,1,19
"Government expenditure on upper secondary education, constant US$ (millions)",19,2,17
"Africa: Students from Sudan, both sexes (number)",19,2,11
"Adjusted net enrolment rate, one year before the official primary entry age, female (%)",19,1,19
"Teachers in tertiary education programmes, female (number)",19,1,19
"Africa: Students from Cameroon, both sexes (number)",18,1,18
"School life expectancy, post-secondary non-tertiary, female (years)",18,2,15
Capital expenditure as a percentage of total expenditure in public institutions (%),18,2,14
"Teachers in early childhood educational development programmes, male (number)",18,1,18
"Repetition rate in Grade 2 of lower secondary general education, both sexes (%)",18,1,18
"Completion rate, lower secondary education, poorest quintile, adjusted location parity index (LPIA)",18,1,18
"Government expenditure on secondary education, constant PPP$ (millions)",18,1,18
"Africa: Students from Djibouti, both sexes (number)",18,1,18
"Africa: Students from Comoros, both sexes (number)",18,2,14
"Total net attendance rate, lower secondary, urban, poorest quintile, both sexes (%)",18,4,13
"Enrolment in tertiary education, ISCED 8 programmes, both sexes (number)",18,3,16
"Completion rate, primary education, middle quintile, adjusted location parity index (LPIA)",18,1,18
"Total net enrolment rate, primary, male (%)",18,1,18
"Out-of-school adolescents of lower secondary school age, both sexes (number)",18,2,18
Percentage of enrolment in pre-primary education in private institutions (%),18,2,18
"Total net attendance rate, upper secondary, adjusted gender parity index (GPIA)",18,2,17
"Out-of-school rate for children of primary school age, urban, both sexes (household survey data) (%)",18,3,15
"Gross enrolment ratio, primary, male (%)",18,1,18
"Completion rate, primary education, urban, male (%)",18,2,14
"Inbound internationally mobile students from Central Asia, both sexes (number)",18,2,16
"Completion rate, primary education, urban, male, adjusted wealth parity index (WPIA)",18,1,18
