Country name,n,avg_EII_z,avg_OUTCOME_z,avg_Efficiency,share_EII_high,share_OUTCOME_high,share_Efficiency_high
St. Vincent and the Grenadines,1,-0.39705412781487087,-0.10556329662763243,-0.028936995955015855,0.0,0.0,0.0
Sudan,1,-0.31761881895308325,0.24064669960526383,0.06456025297630748,0.0,1.0,1.0
Suriname,1,0.055310042422354086,0.22512229640555376,0.05490247521519464,0.0,1.0,1.0
Sweden,1,0.6215659537648812,0.10433042945950757,0.022356555803719834,1.0,0.0,0.0
Switzerland,1,0.5476911639052874,0.42741636227185836,0.09306257666875599,1.0,1.0,1.0
Syrian Arab Republic,1,-0.44403613844438,0.2907395620829677,0.08073727904177917,0.0,1.0,1.0
S�o Tom� and Pr�ncipe,1,-0.7969120517866725,0.17009485438416475,0.05236618218724735,0.0,1.0,1.0
Tajikistan,1,-0.03442281039970183,-0.028574260185645076,-0.007124559298049987,0.0,0.0,0.0
Tanzania,1,0.06105375004543137,-0.06298796224318458,-0.015339918539288044,0.0,0.0,0.0
Thailand,1,0.30941225169891834,0.037200888598682785,0.008543079715565173,1.0,0.0,0.0
Timor-Leste,1,-0.4403808662134864,0.2728657599095072,0.07569695504435052,0.0,1.0,1.0
Togo,1,-0.17244115927201176,0.007970187964115747,0.002058069648993972,0.0,0.0,0.0
Tonga,1,-0.8315468385467375,0.09021518983859395,0.02807340398460739,0.0,0.0,0.0
Trinidad and Tobago,1,-0.09044882664314449,-0.01396619471397774,-0.0035315929361708575,0.0,0.0,0.0
Tunisia,1,-0.015311375409636572,-0.16905764809948826,-0.04195205809367884,0.0,0.0,0.0
Turkmenistan,1,-0.8499889816117259,-0.17976783933468807,-0.056263526260091484,0.0,0.0,0.0
Turks and Caicos Islands,1,-0.6657736221514976,-1.6374350381443257,-0.48454575569147057,0.0,0.0,0.0
Tuvalu,1,-0.8476538512405655,-1.1933477359976885,-0.37321980014102385,0.0,0.0,0.0
T�rkiye,1,0.47557663410575873,-0.01966499954617596,-0.004350018814346815,1.0,0.0,0.0
Uganda,1,-0.4680540949743297,0.07614751063102332,0.021287859847021855,0.0,0.0,0.0
Ukraine,1,0.5610536464681241,-0.13828457410878126,-0.030021745677648932,1.0,0.0,0.0
United Arab Emirates,1,0.49392256914394755,-0.027769745720024025,-0.006118010187163038,1.0,0.0,0.0
United Kingdom,1,0.43299466939467046,0.23293006453682738,0.05201551706627347,1.0,1.0,1.0
United States,1,1.0070691276099928,0.11232032101232793,0.022232127567934586,1.0,0.0,0.0
Uruguay,1,0.14489915515522855,-0.21893244424134814,-0.05225127329676581,0.0,0.0,0.0
Uzbekistan,1,0.21646043204098916,0.2261798613129475,0.05307450571463484,1.0,1.0,1.0
Vanuatu,1,-1.2480178853343393,-0.32819637077424035,-0.11733554323133158,0.0,0.0,0.0
"Venezuela, RB",1,0.12774032382701597,0.3498842767435045,0.08384812405671221,0.0,1.0,1.0
Vietnam,1,0.45588818255644686,0.36865519869925917,0.08190551213505377,1.0,1.0,1.0
Virgin Islands (U.S.),1,-3.0450933642213163,0.28691351023431033,0.28691351023431033,0.0,1.0,1.0
West Bank and Gaza,1,0.1368001861921685,0.31262279203204457,0.07475627685480757,0.0,1.0,1.0
"Yemen, Rep.",1,-0.1759210679102044,0.15798522188617015,0.04083178772803528,0.0,1.0,1.0
Zambia,1,-0.3366775817398682,0.05248813043399882,0.01415378790100956,0.0,0.0,0.0
Zimbabwe,1,-0.08734108085329682,-0.202527943760225,-0.05117246589972911,0.0,0.0,0.0
